Temperature - (Celsius), Year, Statistics, Country, ISO3
16.5544, 1927, Oct Average, Portugal, PRT
10.4413, 1927, Nov Average, Portugal, PRT
9.04208, 1927, Dec Average, Portugal, PRT
7.47623, 1928, Jan Average, Portugal, PRT
9.90139, 1928, Feb Average, Portugal, PRT
10.7547, 1928, Mar Average, Portugal, PRT
11.806, 1928, Apr Average, Portugal, PRT
13.8943, 1928, May Average, Portugal, PRT
19.2346, 1928, Jun Average, Portugal, PRT
23.85, 1928, Jul Average, Portugal, PRT
21.9417, 1928, Aug Average, Portugal, PRT
20.0565, 1928, Sep Average, Portugal, PRT
15.3854, 1928, Oct Average, Portugal, PRT
10.5583, 1928, Nov Average, Portugal, PRT
7.31902, 1928, Dec Average, Portugal, PRT
7.25046, 1929, Jan Average, Portugal, PRT
9.27785, 1929, Feb Average, Portugal, PRT
11.7785, 1929, Mar Average, Portugal, PRT
13.6769, 1929, Apr Average, Portugal, PRT
14.3568, 1929, May Average, Portugal, PRT
19.7725, 1929, Jun Average, Portugal, PRT
21.944, 1929, Jul Average, Portugal, PRT
21.9563, 1929, Aug Average, Portugal, PRT
19.8954, 1929, Sep Average, Portugal, PRT
15.5558, 1929, Oct Average, Portugal, PRT
11.2095, 1929, Nov Average, Portugal, PRT
10.0776, 1929, Dec Average, Portugal, PRT
8.82344, 1930, Jan Average, Portugal, PRT
6.84233, 1930, Feb Average, Portugal, PRT
11.2001, 1930, Mar Average, Portugal, PRT
10.9537, 1930, Apr Average, Portugal, PRT
15.5675, 1930, May Average, Portugal, PRT
17.9931, 1930, Jun Average, Portugal, PRT
20.6332, 1930, Jul Average, Portugal, PRT
22.7096, 1930, Aug Average, Portugal, PRT
20.0353, 1930, Sep Average, Portugal, PRT
16.9581, 1930, Oct Average, Portugal, PRT
12.2825, 1930, Nov Average, Portugal, PRT
9.77527, 1930, Dec Average, Portugal, PRT
7.9324, 1931, Jan Average, Portugal, PRT
8.52286, 1931, Feb Average, Portugal, PRT
11.7045, 1931, Mar Average, Portugal, PRT
12.9971, 1931, Apr Average, Portugal, PRT
14.7872, 1931, May Average, Portugal, PRT
19.9076, 1931, Jun Average, Portugal, PRT
20.7192, 1931, Jul Average, Portugal, PRT
20.5724, 1931, Aug Average, Portugal, PRT
18.6632, 1931, Sep Average, Portugal, PRT
15.9127, 1931, Oct Average, Portugal, PRT
11.7796, 1931, Nov Average, Portugal, PRT
7.15661, 1931, Dec Average, Portugal, PRT
7.52189, 1932, Jan Average, Portugal, PRT
6.91182, 1932, Feb Average, Portugal, PRT
10.9931, 1932, Mar Average, Portugal, PRT
11.0731, 1932, Apr Average, Portugal, PRT
14.7196, 1932, May Average, Portugal, PRT
17.7816, 1932, Jun Average, Portugal, PRT
20.132, 1932, Jul Average, Portugal, PRT
22.2428, 1932, Aug Average, Portugal, PRT
19.3138, 1932, Sep Average, Portugal, PRT
14.3507, 1932, Oct Average, Portugal, PRT
11.7196, 1932, Nov Average, Portugal, PRT
9.13822, 1932, Dec Average, Portugal, PRT
7.08951, 1933, Jan Average, Portugal, PRT
8.07833, 1933, Feb Average, Portugal, PRT
10.8718, 1933, Mar Average, Portugal, PRT
14.243, 1933, Apr Average, Portugal, PRT
17.4881, 1933, May Average, Portugal, PRT
17.9716, 1933, Jun Average, Portugal, PRT
22.3041, 1933, Jul Average, Portugal, PRT
23.8018, 1933, Aug Average, Portugal, PRT
18.9795, 1933, Sep Average, Portugal, PRT
15.2346, 1933, Oct Average, Portugal, PRT
9.30464, 1933, Nov Average, Portugal, PRT
5.67432, 1933, Dec Average, Portugal, PRT
6.62699, 1934, Jan Average, Portugal, PRT
7.38168, 1934, Feb Average, Portugal, PRT
8.76671, 1934, Mar Average, Portugal, PRT
11.1608, 1934, Apr Average, Portugal, PRT
16.4239, 1934, May Average, Portugal, PRT
19.7741, 1934, Jun Average, Portugal, PRT
22.3979, 1934, Jul Average, Portugal, PRT
20.4648, 1934, Aug Average, Portugal, PRT
19.7043, 1934, Sep Average, Portugal, PRT
16.5431, 1934, Oct Average, Portugal, PRT
9.02016, 1934, Nov Average, Portugal, PRT
10.563, 1934, Dec Average, Portugal, PRT
6.3004, 1935, Jan Average, Portugal, PRT
7.673, 1935, Feb Average, Portugal, PRT
11.402, 1935, Mar Average, Portugal, PRT
12.5634, 1935, Apr Average, Portugal, PRT
13.2279, 1935, May Average, Portugal, PRT
17.8966, 1935, Jun Average, Portugal, PRT
22.0216, 1935, Jul Average, Portugal, PRT
21.545, 1935, Aug Average, Portugal, PRT
19.7785, 1935, Sep Average, Portugal, PRT
14.1227, 1935, Oct Average, Portugal, PRT
10.577, 1935, Nov Average, Portugal, PRT
9.31466, 1935, Dec Average, Portugal, PRT
10.3732, 1936, Jan Average, Portugal, PRT
9.96934, 1936, Feb Average, Portugal, PRT
10.1431, 1936, Mar Average, Portugal, PRT
12.391, 1936, Apr Average, Portugal, PRT
13.3279, 1936, May Average, Portugal, PRT
16.6459, 1936, Jun Average, Portugal, PRT
20.1053, 1936, Jul Average, Portugal, PRT
22.6267, 1936, Aug Average, Portugal, PRT
19.7456, 1936, Sep Average, Portugal, PRT
14.1965, 1936, Oct Average, Portugal, PRT
10.0638, 1936, Nov Average, Portugal, PRT
7.11911, 1936, Dec Average, Portugal, PRT
8.10947, 1937, Jan Average, Portugal, PRT
10.039, 1937, Feb Average, Portugal, PRT
9.61994, 1937, Mar Average, Portugal, PRT
13.5864, 1937, Apr Average, Portugal, PRT
15.5521, 1937, May Average, Portugal, PRT
18.3091, 1937, Jun Average, Portugal, PRT
22.0898, 1937, Jul Average, Portugal, PRT
21.9789, 1937, Aug Average, Portugal, PRT
19.0619, 1937, Sep Average, Portugal, PRT
15.6287, 1937, Oct Average, Portugal, PRT
12.7789, 1937, Nov Average, Portugal, PRT
7.79951, 1937, Dec Average, Portugal, PRT
7.53465, 1938, Jan Average, Portugal, PRT
8.18885, 1938, Feb Average, Portugal, PRT
12.2662, 1938, Mar Average, Portugal, PRT
13.813, 1938, Apr Average, Portugal, PRT
14.767, 1938, May Average, Portugal, PRT
20.1407, 1938, Jun Average, Portugal, PRT
20.7721, 1938, Jul Average, Portugal, PRT
20.8906, 1938, Aug Average, Portugal, PRT
17.5386, 1938, Sep Average, Portugal, PRT
15.8583, 1938, Oct Average, Portugal, PRT
12.8154, 1938, Nov Average, Portugal, PRT
8.12016, 1938, Dec Average, Portugal, PRT
9.53241, 1939, Jan Average, Portugal, PRT
9.06791, 1939, Feb Average, Portugal, PRT
10.1788, 1939, Mar Average, Portugal, PRT
12.0202, 1939, Apr Average, Portugal, PRT
15.1197, 1939, May Average, Portugal, PRT
17.7149, 1939, Jun Average, Portugal, PRT
20.8068, 1939, Jul Average, Portugal, PRT
20.6894, 1939, Aug Average, Portugal, PRT
19.695, 1939, Sep Average, Portugal, PRT
14.3516, 1939, Oct Average, Portugal, PRT
11.02, 1939, Nov Average, Portugal, PRT
8.62876, 1939, Dec Average, Portugal, PRT
8.0364, 1940, Jan Average, Portugal, PRT
10.3527, 1940, Feb Average, Portugal, PRT
12.7382, 1940, Mar Average, Portugal, PRT
13.5164, 1940, Apr Average, Portugal, PRT
15.1536, 1940, May Average, Portugal, PRT
18.6668, 1940, Jun Average, Portugal, PRT
20.5602, 1940, Jul Average, Portugal, PRT
23.0541, 1940, Aug Average, Portugal, PRT
19.3991, 1940, Sep Average, Portugal, PRT
14.0834, 1940, Oct Average, Portugal, PRT
10.7294, 1940, Nov Average, Portugal, PRT
6.84783, 1940, Dec Average, Portugal, PRT
7.10891, 1941, Jan Average, Portugal, PRT
9.31587, 1941, Feb Average, Portugal, PRT
10.8469, 1941, Mar Average, Portugal, PRT
12.0724, 1941, Apr Average, Portugal, PRT
13.4679, 1941, May Average, Portugal, PRT
19.2339, 1941, Jun Average, Portugal, PRT
21.62, 1941, Jul Average, Portugal, PRT
21.7234, 1941, Aug Average, Portugal, PRT
20.4092, 1941, Sep Average, Portugal, PRT
16.6689, 1941, Oct Average, Portugal, PRT
10.6143, 1941, Nov Average, Portugal, PRT
7.11879, 1941, Dec Average, Portugal, PRT
7.68484, 1942, Jan Average, Portugal, PRT
6.96595, 1942, Feb Average, Portugal, PRT
11.6413, 1942, Mar Average, Portugal, PRT
12.9429, 1942, Apr Average, Portugal, PRT
15.9454, 1942, May Average, Portugal, PRT
19.5841, 1942, Jun Average, Portugal, PRT
21.6459, 1942, Jul Average, Portugal, PRT
21.3655, 1942, Aug Average, Portugal, PRT
19.5594, 1942, Sep Average, Portugal, PRT
16.8783, 1942, Oct Average, Portugal, PRT
11.2402, 1942, Nov Average, Portugal, PRT
8.98551, 1942, Dec Average, Portugal, PRT
8.7041, 1943, Jan Average, Portugal, PRT
8.88154, 1943, Feb Average, Portugal, PRT
10.9852, 1943, Mar Average, Portugal, PRT
15.0059, 1943, Apr Average, Portugal, PRT
17.4867, 1943, May Average, Portugal, PRT
21.3511, 1943, Jun Average, Portugal, PRT
21.2932, 1943, Jul Average, Portugal, PRT
23.1387, 1943, Aug Average, Portugal, PRT
18.6655, 1943, Sep Average, Portugal, PRT
15.3161, 1943, Oct Average, Portugal, PRT
10.1209, 1943, Nov Average, Portugal, PRT
8.38435, 1943, Dec Average, Portugal, PRT
7.39245, 1944, Jan Average, Portugal, PRT
7.1989, 1944, Feb Average, Portugal, PRT
10.7161, 1944, Mar Average, Portugal, PRT
14.5134, 1944, Apr Average, Portugal, PRT
17.0759, 1944, May Average, Portugal, PRT
19.9402, 1944, Jun Average, Portugal, PRT
21.5952, 1944, Jul Average, Portugal, PRT
22.0117, 1944, Aug Average, Portugal, PRT
19.6879, 1944, Sep Average, Portugal, PRT
13.9122, 1944, Oct Average, Portugal, PRT
11.4232, 1944, Nov Average, Portugal, PRT
7.74021, 1944, Dec Average, Portugal, PRT
5.46067, 1945, Jan Average, Portugal, PRT
9.78931, 1945, Feb Average, Portugal, PRT
12.1001, 1945, Mar Average, Portugal, PRT
15.7821, 1945, Apr Average, Portugal, PRT
16.5271, 1945, May Average, Portugal, PRT
20.9235, 1945, Jun Average, Portugal, PRT
21.8424, 1945, Jul Average, Portugal, PRT
20.769, 1945, Aug Average, Portugal, PRT
20.6786, 1945, Sep Average, Portugal, PRT
17.2058, 1945, Oct Average, Portugal, PRT
13.0485, 1945, Nov Average, Portugal, PRT
9.96296, 1945, Dec Average, Portugal, PRT
7.00944, 1946, Jan Average, Portugal, PRT
9.51751, 1946, Feb Average, Portugal, PRT
10.509, 1946, Mar Average, Portugal, PRT
12.6473, 1946, Apr Average, Portugal, PRT
13.5213, 1946, May Average, Portugal, PRT
18.8568, 1946, Jun Average, Portugal, PRT
22.76, 1946, Jul Average, Portugal, PRT
21.5806, 1946, Aug Average, Portugal, PRT
19.7916, 1946, Sep Average, Portugal, PRT
16.5803, 1946, Oct Average, Portugal, PRT
11.7032, 1946, Nov Average, Portugal, PRT
7.65374, 1946, Dec Average, Portugal, PRT
7.21873, 1947, Jan Average, Portugal, PRT
8.86385, 1947, Feb Average, Portugal, PRT
11.9489, 1947, Mar Average, Portugal, PRT
14.6797, 1947, Apr Average, Portugal, PRT
15.277, 1947, May Average, Portugal, PRT
20.005, 1947, Jun Average, Portugal, PRT
22.2549, 1947, Jul Average, Portugal, PRT
22.0974, 1947, Aug Average, Portugal, PRT
19.7772, 1947, Sep Average, Portugal, PRT
16.8209, 1947, Oct Average, Portugal, PRT
13.5311, 1947, Nov Average, Portugal, PRT
7.92946, 1947, Dec Average, Portugal, PRT
9.51268, 1948, Jan Average, Portugal, PRT
9.96694, 1948, Feb Average, Portugal, PRT
13.4317, 1948, Mar Average, Portugal, PRT
12.8167, 1948, Apr Average, Portugal, PRT
14.9867, 1948, May Average, Portugal, PRT
20.3739, 1948, Jun Average, Portugal, PRT
21.3463, 1948, Jul Average, Portugal, PRT
21.8496, 1948, Aug Average, Portugal, PRT
20.3519, 1948, Sep Average, Portugal, PRT
16.3529, 1948, Oct Average, Portugal, PRT
13.0098, 1948, Nov Average, Portugal, PRT
10.2711, 1948, Dec Average, Portugal, PRT
8.42457, 1949, Jan Average, Portugal, PRT
9.73057, 1949, Feb Average, Portugal, PRT
10.7746, 1949, Mar Average, Portugal, PRT
14.9819, 1949, Apr Average, Portugal, PRT
15.2392, 1949, May Average, Portugal, PRT
20.0401, 1949, Jun Average, Portugal, PRT
22.9222, 1949, Jul Average, Portugal, PRT
23.6302, 1949, Aug Average, Portugal, PRT
19.7238, 1949, Sep Average, Portugal, PRT
16.7364, 1949, Oct Average, Portugal, PRT
12.1365, 1949, Nov Average, Portugal, PRT
